id,Gender,Customer_Type,Age,Type_of_Travel,Class,Flight_Distance
14965,Male,Loyal Customer,27,Business travel,Business,3200
36897,Male,Loyal Customer,40,Personal Travel,Eco,1368
127954,Male,Loyal Customer,31,Business travel,Business,1999
27872,Male,Loyal Customer,25,Business travel,Eco Plus,680
35854,Male,Loyal Customer,42,Business travel,Business,537
14527,Female,Loyal Customer,45,Business travel,Eco,288
47021,Male,Loyal Customer,59,Personal Travel,Business,639
11224,Male,Loyal Customer,34,Personal Travel,Eco,201
3921,Female,Loyal Customer,22,Personal Travel,Eco,213
69463,Male,Loyal Customer,21,Personal Travel,Eco,1096
47050,Male,Loyal Customer,26,Business travel,Business,1680
21970,Male,Loyal Customer,37,Business travel,Business,2401
30046,Male,Loyal Customer,38,Business travel,Business,2746
1256,Female,Loyal Customer,17,Personal Travel,Eco,89
73813,Male,Loyal Customer,15,Personal Travel,Eco Plus,192
110928,Female,Loyal Customer,53,Personal Travel,Eco,404
102981,Male,disloyal Customer,39,Business travel,Business,546
61571,Male,Loyal Customer,40,Business travel,Business,2400
3796,Female,disloyal Customer,28,Business travel,Eco Plus,599
73906,Female,disloyal Customer,27,Business travel,Business,2342
74090,Female,Loyal Customer,41,Business travel,Business,3046
76645,Female,Loyal Customer,7,Personal Travel,Eco,516
100462,Male,disloyal Customer,48,Business travel,Business,759
54164,Male,Loyal Customer,13,Business travel,Eco,1400
6147,Female,Loyal Customer,48,Business travel,Business,491
1262,Female,Loyal Customer,49,Personal Travel,Eco,134
20310,Male,disloyal Customer,26,Business travel,Business,900
46896,Male,Loyal Customer,22,Business travel,Business,3648
7237,Female,Loyal Customer,53,Business travel,Business,3769
44293,Female,Loyal Customer,43,Business travel,Eco,563
52496,Male,Loyal Customer,56,Business travel,Business,3131
68263,Female,Loyal Customer,69,Personal Travel,Eco,631
5289,Male,Loyal Customer,59,Personal Travel,Eco,351
109359,Female,Loyal Customer,56,Business travel,Business,1189
94988,Male,Loyal Customer,11,Personal Travel,Eco,562
53605,Female,Loyal Customer,25,Business travel,Eco,1874
11005,Female,disloyal Customer,29,Business travel,Eco,158
14794,Female,Loyal Customer,48,Business travel,Eco,95
49480,Female,Loyal Customer,42,Business travel,Business,266
120440,Male,disloyal Customer,15,Business travel,Eco,449
55823,Female,disloyal Customer,49,Business travel,Business,1416
107792,Male,Loyal Customer,41,Business travel,Business,2388
80531,Male,Loyal Customer,43,Business travel,Business,1678
128145,Male,Loyal Customer,60,Business travel,Business,1972
63370,Female,Loyal Customer,42,Personal Travel,Eco,337
12452,Female,Loyal Customer,8,Personal Travel,Eco,253
16145,Female,Loyal Customer,42,Business travel,Eco,212
44418,Male,disloyal Customer,18,Business travel,Eco Plus,342
95746,Male,Loyal Customer,47,Business travel,Business,3556
41134,Female,disloyal Customer,27,Business travel,Eco,191
3214,Female,Loyal Customer,67,Personal Travel,Eco Plus,693
74101,Male,disloyal Customer,38,Business travel,Business,641
106220,Female,disloyal Customer,20,Business travel,Eco,471
88134,Female,Loyal Customer,60,Business travel,Business,3823
64475,Male,disloyal Customer,23,Business travel,Business,282
123812,Male,disloyal Customer,25,Business travel,Business,544
88893,Female,Loyal Customer,38,Business travel,Business,2955
31244,Female,Loyal Customer,40,Business travel,Business,2806
97762,Male,Loyal Customer,19,Personal Travel,Eco,587
59851,Female,Loyal Customer,61,Business travel,Business,2073
25137,Male,Loyal Customer,44,Personal Travel,Eco,1249
18412,Female,Loyal Customer,22,Personal Travel,Eco,284
87192,Female,disloyal Customer,8,Business travel,Eco,946
127062,Female,Loyal Customer,45,Business travel,Business,3947
112169,Male,Loyal Customer,46,Personal Travel,Eco,895
127798,Female,Loyal Customer,54,Business travel,Business,1634
91778,Male,Loyal Customer,62,Personal Travel,Eco,588
42609,Female,Loyal Customer,25,Business travel,Business,2533
67482,Female,Loyal Customer,32,Personal Travel,Eco,641
91108,Female,Loyal Customer,65,Personal Travel,Eco,581
102318,Male,disloyal Customer,40,Business travel,Business,223
51281,Female,Loyal Customer,30,Business travel,Eco Plus,326
6528,Female,Loyal Customer,67,Personal Travel,Eco,599
121232,Male,Loyal Customer,51,Business travel,Business,2075
72478,Female,Loyal Customer,47,Business travel,Business,964
122788,Female,Loyal Customer,38,Business travel,Eco,599
5528,Male,Loyal Customer,54,Business travel,Business,3138
107726,Female,Loyal Customer,57,Personal Travel,Eco,251
72606,Male,Loyal Customer,13,Personal Travel,Eco,1119
75522,Female,disloyal Customer,20,Business travel,Eco,337
125687,Female,Loyal Customer,45,Business travel,Business,759
79908,Female,Loyal Customer,51,Business travel,Business,2344
117345,Male,disloyal Customer,25,Business travel,Business,296
73465,Female,Loyal Customer,39,Personal Travel,Eco,1005
95851,Female,Loyal Customer,46,Business travel,Business,580
44992,Male,Loyal Customer,53,Business travel,Eco,359
70631,Female,Loyal Customer,61,Personal Travel,Eco,1217
13761,Female,Loyal Customer,61,Business travel,Eco Plus,384
74968,Male,Loyal Customer,16,Personal Travel,Eco,2586
12371,Female,Loyal Customer,44,Business travel,Business,2903
8378,Female,Loyal Customer,17,Business travel,Business,3170
82080,Female,Loyal Customer,50,Business travel,Eco,1276
107972,Female,disloyal Customer,40,Business travel,Business,825
101228,Male,Loyal Customer,47,Business travel,Business,2204
85577,Female,Loyal Customer,80,Business travel,Business,3464
2717,Female,Loyal Customer,38,Personal Travel,Eco,562
88529,Male,Loyal Customer,31,Personal Travel,Eco,404
91613,Male,Loyal Customer,59,Business travel,Business,1199
88865,Female,Loyal Customer,22,Business travel,Business,1968
96960,Female,Loyal Customer,53,Business travel,Business,2560
51191,Female,Loyal Customer,56,Business travel,Eco Plus,308
9461,Female,Loyal Customer,48,Personal Travel,Eco,362
66384,Male,disloyal Customer,38,Business travel,Business,1562
41934,Male,Loyal Customer,64,Personal Travel,Eco,129
25381,Male,Loyal Customer,67,Personal Travel,Eco,591
14757,Female,Loyal Customer,62,Business travel,Business,3692
94013,Male,Loyal Customer,57,Business travel,Business,1859
80107,Female,disloyal Customer,27,Business travel,Eco,986
23590,Female,disloyal Customer,25,Business travel,Eco,1024
110384,Female,Loyal Customer,52,Business travel,Eco,919
15069,Female,Loyal Customer,45,Business travel,Eco Plus,576
17128,Female,disloyal Customer,23,Business travel,Eco,423
54060,Male,Loyal Customer,55,Business travel,Eco,1416
129240,Male,Loyal Customer,53,Business travel,Business,1464
97165,Female,Loyal Customer,9,Personal Travel,Eco,715
111696,Male,Loyal Customer,33,Business travel,Business,541
1887,Male,disloyal Customer,64,Business travel,Business,293
89086,Female,disloyal Customer,8,Business travel,Eco,2092
35485,Male,Loyal Customer,34,Personal Travel,Eco,1053
35719,Male,Loyal Customer,59,Personal Travel,Eco,2521
85669,Female,Loyal Customer,13,Business travel,Business,2544
1137,Male,Loyal Customer,44,Personal Travel,Eco,158
8358,Male,Loyal Customer,54,Business travel,Business,1741
17217,Male,Loyal Customer,36,Business travel,Business,2651
44847,Female,Loyal Customer,11,Personal Travel,Eco,760
96673,Female,Loyal Customer,32,Personal Travel,Eco,1036
80152,Male,Loyal Customer,42,Business travel,Eco,2586
82277,Female,disloyal Customer,27,Business travel,Eco,1081
123927,Male,Loyal Customer,33,Personal Travel,Eco,646
115766,Female,Loyal Customer,28,Business travel,Business,308
21134,Male,Loyal Customer,44,Personal Travel,Eco,227
112062,Male,disloyal Customer,49,Business travel,Eco,1754
28643,Male,Loyal Customer,59,Business travel,Business,2176
108010,Male,disloyal Customer,20,Business travel,Business,271
92145,Female,Loyal Customer,46,Business travel,Business,1522
115846,Male,Loyal Customer,36,Business travel,Eco,325
99685,Female,Loyal Customer,62,Business travel,Business,3217
112072,Male,Loyal Customer,59,Business travel,Business,1491
119226,Female,Loyal Customer,29,Personal Travel,Eco,331
115925,Female,disloyal Customer,41,Business travel,Business,371
106552,Male,Loyal Customer,7,Personal Travel,Eco,727
25126,Female,Loyal Customer,65,Personal Travel,Business,1249
33426,Male,Loyal Customer,50,Business travel,Business,2614
125844,Female,Loyal Customer,20,Business travel,Eco,951
70328,Female,Loyal Customer,58,Business travel,Business,2498
88847,Female,Loyal Customer,45,Personal Travel,Eco Plus,545
108398,Male,Loyal Customer,46,Personal Travel,Eco Plus,1838
97316,Female,Loyal Customer,43,Business travel,Business,3724
124811,Male,disloyal Customer,26,Business travel,Business,280
23012,Male,Loyal Customer,41,Business travel,Eco Plus,641
18088,Female,Loyal Customer,50,Personal Travel,Eco,488
37982,Male,Loyal Customer,38,Personal Travel,Business,1237
31332,Female,disloyal Customer,38,Business travel,Eco,1062
97455,Female,Loyal Customer,55,Business travel,Business,2699
28901,Female,Loyal Customer,49,Business travel,Business,679
107606,Male,disloyal Customer,33,Business travel,Business,423
53258,Female,Loyal Customer,57,Business travel,Business,4817
14292,Female,Loyal Customer,35,Business travel,Business,3833
68232,Female,Loyal Customer,40,Business travel,Business,2559
51224,Female,disloyal Customer,37,Business travel,Eco Plus,373
121386,Female,Loyal Customer,52,Personal Travel,Eco,2279
31668,Male,Loyal Customer,41,Business travel,Eco,862
24628,Female,Loyal Customer,14,Personal Travel,Eco,666
95876,Female,Loyal Customer,32,Business travel,Business,759
62793,Male,Loyal Customer,11,Personal Travel,Eco,2338
83516,Male,Loyal Customer,12,Personal Travel,Eco,946
13221,Male,Loyal Customer,41,Business travel,Eco,772
100404,Female,disloyal Customer,45,Business travel,Business,1011
121453,Male,disloyal Customer,21,Business travel,Eco,257
21454,Female,Loyal Customer,31,Business travel,Eco,164
15937,Male,Loyal Customer,38,Business travel,Eco,166
70105,Male,Loyal Customer,40,Business travel,Business,2280
47540,Male,Loyal Customer,13,Personal Travel,Eco,590
57561,Female,Loyal Customer,44,Business travel,Business,1597
124103,Female,Loyal Customer,66,Business travel,Business,2264
125736,Female,Loyal Customer,30,Business travel,Eco Plus,814
93362,Male,Loyal Customer,44,Personal Travel,Eco,1024
95429,Female,Loyal Customer,53,Business travel,Business,3276
106943,Female,Loyal Customer,37,Business travel,Business,2567
100691,Female,Loyal Customer,39,Personal Travel,Eco,889
119948,Male,disloyal Customer,29,Business travel,Business,1009
15778,Male,Loyal Customer,38,Business travel,Eco,198
68342,Male,Loyal Customer,59,Business travel,Business,1598
24665,Male,Loyal Customer,19,Personal Travel,Eco,873
81029,Female,Loyal Customer,39,Business travel,Business,1399
70371,Male,Loyal Customer,22,Personal Travel,Eco,1145
1386,Male,Loyal Customer,50,Personal Travel,Eco Plus,282
35225,Male,Loyal Customer,22,Business travel,Eco,1076
86204,Male,Loyal Customer,56,Business travel,Business,3927
126370,Male,Loyal Customer,39,Personal Travel,Eco,507
116184,Male,Loyal Customer,29,Personal Travel,Eco,325
89613,Male,Loyal Customer,42,Business travel,Business,3404
99020,Male,Loyal Customer,56,Business travel,Business,2387
18463,Male,Loyal Customer,27,Business travel,Business,192
96637,Female,disloyal Customer,21,Business travel,Eco,972
114678,Female,Loyal Customer,42,Business travel,Business,362
97639,Female,Loyal Customer,48,Business travel,Business,1587
75061,Male,Loyal Customer,53,Business travel,Business,2611
51744,Female,Loyal Customer,64,Personal Travel,Eco,651
44413,Female,Loyal Customer,49,Personal Travel,Eco,342
2389,Female,Loyal Customer,49,Business travel,Business,1625
105062,Male,Loyal Customer,23,Personal Travel,Eco Plus,361
91464,Male,Loyal Customer,50,Business travel,Business,3511
55721,Male,Loyal Customer,51,Personal Travel,Eco Plus,927
65726,Male,Loyal Customer,34,Business travel,Business,3666
8473,Female,Loyal Customer,49,Business travel,Business,1187
13488,Female,Loyal Customer,56,Business travel,Eco,106
58611,Male,Loyal Customer,46,Business travel,Business,235
39607,Male,Loyal Customer,25,Personal Travel,Eco,965
41704,Female,Loyal Customer,68,Personal Travel,Eco Plus,936
126579,Female,Loyal Customer,10,Personal Travel,Eco,1558
44232,Female,Loyal Customer,44,Business travel,Eco,222
44021,Male,Loyal Customer,61,Personal Travel,Business,680
67502,Female,Loyal Customer,18,Personal Travel,Eco Plus,641
19525,Female,Loyal Customer,58,Business travel,Business,3065
110015,Female,Loyal Customer,58,Business travel,Business,3736
30960,Male,Loyal Customer,64,Personal Travel,Eco,1024
2153,Male,Loyal Customer,66,Personal Travel,Business,685
115097,Female,disloyal Customer,21,Business travel,Business,296
63204,Male,Loyal Customer,39,Business travel,Business,337
113849,Male,Loyal Customer,50,Business travel,Business,1363
95508,Female,Loyal Customer,43,Business travel,Eco Plus,189
112350,Male,Loyal Customer,41,Business travel,Business,1620
20650,Male,Loyal Customer,46,Business travel,Eco,552
65517,Male,Loyal Customer,41,Business travel,Business,1616
116988,Female,Loyal Customer,31,Business travel,Eco,646
116210,Female,Loyal Customer,53,Personal Travel,Eco,404
15218,Female,Loyal Customer,39,Business travel,Business,3601
35387,Female,Loyal Customer,53,Business travel,Business,635
20002,Male,Loyal Customer,25,Business travel,Eco,646
102927,Female,disloyal Customer,20,Business travel,Eco,317
92462,Male,disloyal Customer,46,Business travel,Eco,1892
70950,Male,Loyal Customer,10,Personal Travel,Eco,612
76034,Female,Loyal Customer,47,Business travel,Business,2609
97177,Male,Loyal Customer,32,Personal Travel,Eco,1357
51719,Female,Loyal Customer,14,Personal Travel,Eco,237
129201,Female,Loyal Customer,16,Business travel,Business,2442
35558,Female,Loyal Customer,53,Personal Travel,Eco,950
109398,Male,Loyal Customer,55,Business travel,Business,2896
65351,Female,Loyal Customer,28,Business travel,Business,1537
102482,Female,Loyal Customer,49,Personal Travel,Eco,197
17932,Male,Loyal Customer,54,Personal Travel,Eco Plus,789
122276,Female,Loyal Customer,70,Personal Travel,Eco,541
57484,Female,disloyal Customer,25,Business travel,Eco,782
121069,Female,Loyal Customer,48,Business travel,Business,951
41414,Male,Loyal Customer,7,Personal Travel,Eco,563
49839,Male,Loyal Customer,39,Business travel,Eco,109
48189,Male,Loyal Customer,79,Business travel,Eco,414
82445,Female,disloyal Customer,28,Business travel,Business,502
108108,Male,Loyal Customer,41,Business travel,Business,990
63984,Female,disloyal Customer,27,Business travel,Eco Plus,1192
105287,Female,Loyal Customer,59,Business travel,Business,2869
9385,Female,Loyal Customer,21,Personal Travel,Eco,401
25265,Male,Loyal Customer,48,Business travel,Eco,425
119844,Male,Loyal Customer,53,Business travel,Eco,1095
33840,Female,Loyal Customer,42,Business travel,Business,1609
81815,Female,disloyal Customer,48,Business travel,Eco,1310
83524,Male,Loyal Customer,59,Personal Travel,Eco,946
78999,Female,Loyal Customer,53,Business travel,Business,3804
46712,Male,Loyal Customer,24,Personal Travel,Eco,125
41188,Male,Loyal Customer,56,Personal Travel,Eco,429
5326,Female,Loyal Customer,42,Business travel,Business,3004
80176,Female,disloyal Customer,24,Business travel,Eco,1455
46900,Male,Loyal Customer,28,Business travel,Business,833
89219,Female,Loyal Customer,17,Personal Travel,Eco,1892
17928,Male,Loyal Customer,31,Business travel,Eco Plus,789
55425,Male,Loyal Customer,60,Business travel,Business,2254
88130,Male,disloyal Customer,39,Business travel,Business,444
48354,Female,Loyal Customer,47,Business travel,Eco,522
105905,Male,Loyal Customer,60,Business travel,Eco,283
60943,Male,Loyal Customer,13,Business travel,Business,1529
101584,Male,disloyal Customer,29,Business travel,Business,1099
71388,Female,Loyal Customer,45,Business travel,Business,2580
77866,Male,Loyal Customer,44,Business travel,Business,1262
49223,Female,Loyal Customer,50,Business travel,Eco,109
106530,Female,Loyal Customer,26,Personal Travel,Eco,271
28676,Female,Loyal Customer,27,Business travel,Business,2777
39553,Male,Loyal Customer,16,Business travel,Business,2865
109597,Female,disloyal Customer,24,Business travel,Eco,920
62291,Male,disloyal Customer,34,Business travel,Business,414
40177,Female,Loyal Customer,30,Business travel,Business,2154
33413,Male,Loyal Customer,50,Business travel,Eco,2349
127599,Male,disloyal Customer,21,Business travel,Eco,1773
66723,Male,Loyal Customer,61,Personal Travel,Eco,802
73698,Female,Loyal Customer,32,Business travel,Business,192
27641,Female,Loyal Customer,22,Personal Travel,Eco Plus,937
83891,Male,Loyal Customer,46,Business travel,Business,1050
51662,Female,disloyal Customer,15,Business travel,Eco,370
19833,Female,Loyal Customer,29,Personal Travel,Eco,413
63416,Female,Loyal Customer,12,Personal Travel,Eco,372
7645,Male,disloyal Customer,50,Business travel,Business,641
86002,Male,Loyal Customer,54,Business travel,Eco,528
64457,Male,Loyal Customer,69,Personal Travel,Eco,989
109551,Male,Loyal Customer,38,Personal Travel,Eco,920
86553,Female,disloyal Customer,25,Business travel,Eco Plus,853
17491,Male,Loyal Customer,26,Business travel,Eco,352
114667,Female,Loyal Customer,53,Business travel,Business,2690
59149,Male,Loyal Customer,47,Business travel,Business,1846
74892,Male,Loyal Customer,42,Business travel,Business,2475
15197,Male,disloyal Customer,19,Business travel,Eco,461
6867,Male,Loyal Customer,63,Personal Travel,Eco,622
111943,Male,disloyal Customer,18,Business travel,Eco,533
46720,Male,Loyal Customer,52,Personal Travel,Eco,125
67966,Male,Loyal Customer,60,Business travel,Eco Plus,1464
33341,Male,Loyal Customer,38,Business travel,Business,2355
50319,Male,Loyal Customer,41,Business travel,Eco,77
82927,Male,Loyal Customer,41,Business travel,Business,2563
14562,Female,disloyal Customer,15,Business travel,Eco,986
108335,Female,Loyal Customer,49,Business travel,Eco,1750
97959,Male,Loyal Customer,18,Personal Travel,Eco,793
1026,Female,Loyal Customer,39,Business travel,Eco,229
26910,Female,Loyal Customer,25,Business travel,Business,1874
14054,Male,disloyal Customer,28,Business travel,Business,319
109458,Female,Loyal Customer,37,Business travel,Business,2571
51772,Female,Loyal Customer,31,Personal Travel,Eco,261
15019,Female,Loyal Customer,32,Personal Travel,Eco,557
23664,Female,disloyal Customer,25,Business travel,Eco,196
6731,Male,Loyal Customer,55,Business travel,Business,3934
57753,Male,Loyal Customer,51,Business travel,Business,2704
29788,Female,Loyal Customer,40,Business travel,Business,2334
28336,Male,Loyal Customer,25,Business travel,Business,3848
2878,Female,Loyal Customer,70,Personal Travel,Eco,409
81675,Female,Loyal Customer,55,Business travel,Eco,907
50905,Male,Loyal Customer,53,Personal Travel,Eco,262
90850,Male,Loyal Customer,73,Business travel,Business,2141
29340,Female,Loyal Customer,32,Business travel,Eco Plus,859
68731,Male,Loyal Customer,30,Personal Travel,Eco Plus,237
115978,Male,Loyal Customer,19,Personal Travel,Eco,308
29829,Male,Loyal Customer,33,Business travel,Business,3679
82401,Female,Loyal Customer,13,Personal Travel,Eco,501
80083,Male,Loyal Customer,53,Business travel,Eco Plus,550
42783,Female,disloyal Customer,31,Business travel,Eco,1118
39020,Male,Loyal Customer,62,Business travel,Business,3179
46111,Male,Loyal Customer,29,Personal Travel,Eco,1085
66327,Male,Loyal Customer,57,Business travel,Business,2807
43012,Male,Loyal Customer,34,Business travel,Business,3802
82776,Male,disloyal Customer,45,Business travel,Eco,926
48215,Female,Loyal Customer,65,Personal Travel,Eco,192
57441,Female,Loyal Customer,48,Business travel,Business,235
55928,Female,Loyal Customer,8,Personal Travel,Eco,733
98446,Male,Loyal Customer,36,Personal Travel,Eco,814
121273,Female,Loyal Customer,48,Business travel,Business,2075
59385,Female,Loyal Customer,10,Personal Travel,Eco,2338
27078,Male,disloyal Customer,24,Business travel,Eco,834
104661,Male,Loyal Customer,52,Business travel,Business,1778
111483,Male,disloyal Customer,43,Business travel,Eco,1052
11558,Female,Loyal Customer,21,Business travel,Business,657
83673,Female,disloyal Customer,24,Business travel,Eco,577
120382,Male,disloyal Customer,40,Business travel,Business,449
82170,Female,Loyal Customer,8,Personal Travel,Eco,237
117397,Female,Loyal Customer,40,Business travel,Business,544
59357,Male,Loyal Customer,41,Business travel,Business,2556
91983,Female,Loyal Customer,67,Personal Travel,Eco Plus,2475
119617,Male,Loyal Customer,40,Business travel,Business,3034
90639,Female,Loyal Customer,51,Business travel,Business,366
59638,Female,Loyal Customer,59,Business travel,Business,956
119074,Male,Loyal Customer,29,Business travel,Business,2218
13395,Male,Loyal Customer,70,Personal Travel,Eco,456
108871,Male,Loyal Customer,12,Personal Travel,Eco Plus,1892
104029,Male,disloyal Customer,26,Business travel,Business,1262
12025,Male,Loyal Customer,41,Business travel,Business,3423
42755,Male,Loyal Customer,60,Business travel,Business,493
32936,Male,Loyal Customer,39,Personal Travel,Eco,163
53978,Female,Loyal Customer,68,Personal Travel,Eco,1117
70029,Male,Loyal Customer,32,Business travel,Business,2187
96407,Male,Loyal Customer,18,Personal Travel,Eco,1342
127129,Male,Loyal Customer,15,Personal Travel,Eco,304
113946,Female,Loyal Customer,43,Business travel,Business,1750
40606,Male,Loyal Customer,49,Personal Travel,Eco,216
7742,Male,Loyal Customer,25,Personal Travel,Eco,489
128529,Female,Loyal Customer,50,Personal Travel,Eco,370
80556,Female,Loyal Customer,39,Business travel,Business,1747
22155,Female,Loyal Customer,33,Business travel,Business,773
56314,Male,Loyal Customer,17,Personal Travel,Business,200
82206,Male,Loyal Customer,41,Business travel,Business,405
68344,Male,Loyal Customer,31,Business travel,Business,1598
18464,Female,disloyal Customer,39,Business travel,Business,201
129310,Male,Loyal Customer,64,Business travel,Business,2475
70613,Male,Loyal Customer,52,Business travel,Business,3935
8558,Female,Loyal Customer,30,Business travel,Business,2657
86840,Female,Loyal Customer,42,Business travel,Eco,292
122170,Female,Loyal Customer,48,Business travel,Business,544
24839,Male,Loyal Customer,29,Personal Travel,Eco,861
